WKT;FROM;TO;COUNT
"LINESTRING (116.628542555556 39.9043024444444,116.613051333333 39.9045824444445)";493;492;1
"LINESTRING (116.633567 39.986417,116.621767 39.986965)";521;522;1
"LINESTRING (116.359745780488 39.8439561219512,116.37766391954 39.8543189770115)";62;63;1
"LINESTRING (116.720412 36.900483,116.7292 36.892007)";343;344;1
"LINESTRING (116.268289040404 39.910758979798,116.268908093023 39.9254848488372)";168;35;13
"LINESTRING (116.139323 40.07978,116.128638 40.088378)";254;252;1
"LINESTRING (116.347181411111 39.9847288666667,116.335507025 39.98512485)";4;3;20
"LINESTRING (116.427469941176 39.9686446470588,116.415438533333 39.9635857111111)";54;55;5
"LINESTRING (116.4551811 39.8716443,116.4551811 39.8716443)";19;19;914
"LINESTRING (116.465008857143 40.0007138571429,116.465008857143 40.0007138571429)";58;58;146
"LINESTRING (116.134814 40.3575,116.134814 40.3575)";244;244;2
"LINESTRING (116.099678 40.024658,116.013968 40.11397)";542;543;1
"LINESTRING (116.285525714286 39.8957370714286,116.303877285714 39.9010203265306)";257;157;4
"LINESTRING (116.401678728571 39.9476186142857,116.401678728571 39.9476186142857)";11;11;1396
"LINESTRING (116.415743490909 39.8636931090909,116.419207521739 39.8560874347826)";120;478;4
"LINESTRING (116.400199333333 39.9206723333333,116.4018362 39.9312892)";250;251;1
"LINESTRING (116.4018362 39.9312892,116.4018362 39.9312892)";251;251;115
"LINESTRING (116.351158732143 39.9664790446429,116.339034197802 39.9664637692308)";25;26;23
"LINESTRING (116.47337 37.237868,116.47337 37.237868)";322;322;4
"LINESTRING (116.2447725 39.928699375,116.23118 39.923834)";163;164;1
"LINESTRING (116.341562333333 39.92012675,116.341562333333 39.92012675)";255;255;525
"LINESTRING (116.64041 39.892858,116.64041 39.892858)";500;500;87
"LINESTRING (116.399665387755 39.9869133265306,116.386213394737 39.9866306315789)";29;30;11
"LINESTRING (116.737238 36.883928,116.737238 36.883928)";345;345;4
"LINESTRING (116.268918876133 39.9658666676737,116.28624211236 39.9804746741573)";2;32;2
"LINESTRING (116.415998 37.308233,116.422955 37.30047)";313;315;1
"LINESTRING (116.151422 40.269327,116.13601 40.341508)";242;243;1
"LINESTRING (116.76844 35.813115,116.761105 35.82228)";289;290;1
"LINESTRING (116.483643428571 39.888821,116.483643428571 39.888821)";221;221;40
"LINESTRING (116.41318776 39.98786228,116.41318776 39.98786228)";42;42;525
"LINESTRING (116.21155 40.110348,116.21155 40.110348)";228;228;1
"LINESTRING (116.350011 40.0377575,116.350011 40.0377575)";265;265;90
"LINESTRING (116.456198229167 39.9416057291667,116.4689685 39.948495)";51;280;1
"LINESTRING (116.685583 36.958608,116.685583 36.958608)";337;337;2
"LINESTRING (116.388240929825 39.8548687719298,116.391917 39.842422)";118;554;1
"LINESTRING (116.853769 36.7318985,116.8591 36.718072)";362;363;1
"LINESTRING (116.917675 36.314257,116.917675 36.314257)";397;397;2
"LINESTRING (116.2321372 40.0706304,116.2223625 40.08796)";143;226;1
"LINESTRING (116.268591166667 39.943516,116.268094 39.9357918392857)";34;194;16
"LINESTRING (116.373689387097 39.9850789032258,116.386213394737 39.9866306315789)";5;30;10
"LINESTRING (116.852062 36.491638,116.852062 36.491638)";380;380;4
"LINESTRING (116.341777 39.860407,116.32056875 39.869089)";588;185;1
"LINESTRING (116.2976265 39.9970875,116.298414461538 39.9835601025641)";131;31;1
"LINESTRING (116.453651191011 39.8857899101124,116.453651191011 39.8857899101124)";18;18;2343
"LINESTRING (116.200748 40.151535,116.200748 40.151535)";231;231;2
"LINESTRING (116.5495682 39.910631,116.5495682 39.910631)";487;487;142
"LINESTRING (116.388641 39.9495479574468,116.4018362 39.9312892)";23;251;1
"LINESTRING (116.551232590909 40.0767693636364,116.551833931034 40.0937027241379)";83;84;3
"LINESTRING (116.373689387097 39.9850789032258,116.373689387097 39.9850789032258)";5;5;403
"LINESTRING (116.635077 37.040217,116.647203 37.02889)";329;330;1
"LINESTRING (116.483171652174 39.938303173913,116.483847173913 39.9208502173913)";218;219;3
"LINESTRING (116.483847173913 39.9208502173913,116.483847173913 39.9208502173913)";219;219;219
"LINESTRING (116.192825 39.921759875,116.205506 39.9231394)";167;166;1
"LINESTRING (116.988438 36.229478,116.988438 36.229478)";407;407;4
"LINESTRING (116.400613 39.904095,116.400199333333 39.9206723333333)";249;250;1
"LINESTRING (116.303877285714 39.9010203265306,116.285525714286 39.8957370714286)";157;257;1
"LINESTRING (116.47337 37.237868,116.480215 37.22857)";322;323;1
"LINESTRING (116.471617 39.8722581666667,116.471617 39.8722581666667)";223;223;223
"LINESTRING (116.351158732143 39.9664790446429,116.364468233333 39.9668944666667)";25;124;16
"LINESTRING (116.920952 39.108647,116.9130515 39.09526)";577;575;1
"LINESTRING (116.322367820513 39.9843652564103,116.315031380952 39.9680074285715)";9;282;1
"LINESTRING (116.329107826087 39.8951490434783,116.342911107143 39.8889555357143)";155;154;3
"LINESTRING (116.14966 40.071402,116.139323 40.07978)";253;254;1
"LINESTRING (116.865213 36.708187,116.865213 36.708187)";364;364;2
"LINESTRING (116.246297 39.970137,116.257807768421 39.9708023789474)";573;96;1
"LINESTRING (116.415907857143 39.8442442857143,116.419207521739 39.8560874347826)";149;478;2
"LINESTRING (116.691392 36.94915,116.697567 36.939447)";338;339;1
"LINESTRING (116.685163555556 39.9852948888889,116.685163555556 39.9852948888889)";515;515;302
"LINESTRING (116.156203 40.258505,116.151422 40.269327)";241;242;1
"LINESTRING (116.5362675 39.8681225,116.5362675 39.8681225)";443;443;8
"LINESTRING (116.697567 36.939447,116.703752 36.929635)";339;340;1
"LINESTRING (116.447456473684 40.0015087894737,116.447456473684 40.0015087894737)";68;68;121
"LINESTRING (116.67003 36.99324,116.67003 36.99324)";334;334;1
"LINESTRING (116.470779227273 39.9656509545455,116.455753485714 39.952497)";47;48;1
"LINESTRING (116.386213394737 39.9866306315789,116.388925102941 39.9672222205882)";30;24;1
"LINESTRING (116.341777 39.860407,116.341777 39.860407)";588;588;14
"LINESTRING (116.28382908 39.99714532,116.270575666667 39.9959782222222)";132;133;3
"LINESTRING (116.200213 40.172395,116.192253 40.192)";233;234;1
"LINESTRING (116.349886242424 39.9425621818182,116.348889108108 39.9241877567568)";126;127;5
"LINESTRING (116.368082285714 39.8703636428571,116.381014041667 39.8689290416667)";258;199;3
"LINESTRING (116.426072125 39.98778325,116.438864682927 39.9857672195122)";43;44;6
"LINESTRING (116.310267666667 39.9929978,116.308754397059 39.9842966617647)";481;65;7
"LINESTRING (116.2285695 39.8298655,116.22217 39.814302)";309;310;1
"LINESTRING (116.363679666667 39.96311,116.364468233333 39.9668944666667)";571;124;1
"LINESTRING (117.06887 36.099873,117.06887 36.099873)";420;420;2
"LINESTRING (116.317260461538 39.9472980769231,116.317260461538 39.9472980769231)";129;129;195
"LINESTRING (116.708673 36.919408,116.713003 36.909785)";341;342;1
"LINESTRING (116.268094 39.9357918392857,116.268908093023 39.9254848488372)";194;35;16
"LINESTRING (116.388240929825 39.8548687719298,116.405067885714 39.8557572571429)";118;119;6
"LINESTRING (117.09433 36.027943,117.09433 36.027943)";427;427;4
"LINESTRING (116.32441775 39.8460185,116.32441775 39.8460185)";122;122;212
"LINESTRING (116.4470478 39.956869075,116.4470478 39.956869075)";52;52;1103
"LINESTRING (116.381014041667 39.8689290416667,116.381014041667 39.8689290416667)";199;199;540
"LINESTRING (116.28632975 39.9475295,116.267997064516 39.895006172043)";40;169;1
"LINESTRING (116.65168925 39.90385325,116.650162333333 39.9187446666667)";495;509;1
"LINESTRING (116.362986122807 39.8536364210526,116.37766391954 39.8543189770115)";64;63;10
"LINESTRING (116.265329 39.9861983333333,116.254102591054 39.979973798722)";449;0;2
"LINESTRING (116.298414461538 39.9835601025641,116.28624211236 39.9804746741573)";31;32;21
"LINESTRING (116.310492363636 40.0161591515151,116.2972052 40.0159648)";147;146;1
"LINESTRING (116.246297 39.970137,116.246297 39.970137)";573;573;25
"LINESTRING (116.337014052632 39.9299811052632,116.325804535714 39.9260515357143)";89;90;4
"LINESTRING (116.556712 40.108236,116.551833931034 40.0937027241379)";537;84;1
"LINESTRING (116.455547 37.645052,116.455547 37.645052)";114;114;2
"LINESTRING (117.870159666667 39.2872353333333,117.870159666667 39.2872353333333)";463;463;24
"LINESTRING (116.297062166667 39.9721718333333,116.298414461538 39.9835601025641)";197;31;2
"LINESTRING (116.304278388889 39.9472257222222,116.302449958333 39.9607090833333)";93;94;7
"LINESTRING (116.355387363636 39.890325,116.355387363636 39.890325)";153;153;250
"LINESTRING (116.503732 40.0577685,116.503732 40.0577685)";551;551;4
"LINESTRING (116.279835333333 40.03271,116.267970666667 40.0269006666667)";137;138;1
"LINESTRING (116.21711 39.986432,116.17845 39.974295)";178;179;1
"LINESTRING (116.3394484 39.90609,116.325496714286 39.906033)";210;209;1
"LINESTRING (117.910865 39.254353,117.899615 39.262335)";459;460;1
"LINESTRING (116.650162333333 39.9187446666667,116.650162333333 39.9187446666667)";509;509;36
"LINESTRING (116.537806944444 40.0552128333333,116.5476484375 40.0627369375)";81;82;3
"LINESTRING (117.000813 36.190892,117.011607 36.183808)";410;411;1
"LINESTRING (116.303877285714 39.9010203265306,116.303877285714 39.9010203265306)";157;157;880
"LINESTRING (116.503598 37.7243,116.503598 37.7243)";106;106;3
"LINESTRING (116.235890714286 39.972618,116.22877 39.9636535)";269;270;1
"LINESTRING (116.400546222222 40.0014655555556,116.400546222222 40.0014655555556)";535;535;149
"LINESTRING (116.435070523809 39.8933174761905,116.435070523809 39.8933174761905)";17;17;279
"LINESTRING (116.360963042553 39.9858189787234,116.360963042553 39.9858189787234)";8;8;411
"LINESTRING (116.277861505618 39.9736143146067,116.254102591054 39.979973798722)";33;0;1
"LINESTRING (116.27833475 40.0503854166667,116.27833475 40.0503854166667)";145;145;309
"LINESTRING (116.347181411111 39.9847288666667,116.347181411111 39.9847288666667)";4;4;1398
"LINESTRING (116.270246527473 39.8791411208791,116.276364261905 39.863533)";170;171;12
"LINESTRING (115.55597 39.648048,115.55597 39.648048)";557;557;2
"LINESTRING (116.302449958333 39.9607090833333,116.297062166667 39.9721718333333)";94;197;2
"LINESTRING (116.414287464286 39.9478471190476,116.414287464286 39.9478471190476)";12;12;1925
"LINESTRING (116.268918876133 39.9658666676737,116.103814 40.01518925)";2;541;1
"LINESTRING (116.5123 37.18023,116.635077 37.040217)";328;329;1
"LINESTRING (116.959277 36.276263,116.966547 36.268455)";402;403;1
"LINESTRING (116.365128153846 39.9988243846154,116.365228 39.998513)";278;262;4
"LINESTRING (116.373124736842 39.9677681578947,116.37661246988 39.9682206024096)";6;123;29
"LINESTRING (117.04595 36.138045,117.050015 36.12814)";416;417;1
"LINESTRING (116.310492363636 40.0161591515151,116.310492363636 40.0161591515151)";147;147;603
"LINESTRING (116.715309 39.986286,116.715309 39.986286)";517;517;80
"LINESTRING (116.3139875 39.84704375,116.307135785714 39.8636831428571)";477;186;1
"LINESTRING (117.169452 40.08307,117.169452 40.08307)";283;283;2
"LINESTRING (116.2789917 39.9250884,116.282785 39.910997)";36;534;1
"LINESTRING (116.3188402 39.9320189,116.303682 39.9186235588235)";91;158;1
"LINESTRING (116.8591 36.718072,116.8591 36.718072)";363;363;4
"LINESTRING (116.337081 39.849748625,116.34914044898 39.8526038095238)";121;61;4
"LINESTRING (116.303877285714 39.9010203265306,116.304599222222 39.8826368333333)";157;476;2
"LINESTRING (116.3260368 40.0103684,116.3260368 40.0103684)";148;148;98
"LINESTRING (116.325804535714 39.9260515357143,116.325804535714 39.9260515357143)";90;90;792
"LINESTRING (116.22877 39.9636535,116.22877 39.9636535)";270;270;1
"LINESTRING (116.28738368 39.93202304,116.28738368 39.93202304)";39;39;691
"LINESTRING (116.576103 39.977453,116.564423 39.975627)";526;527;1
"LINESTRING (116.414287464286 39.9478471190476,116.401678728571 39.9476186142857)";12;11;16
"LINESTRING (116.297062166667 39.9721718333333,116.309084690307 39.9790180756501)";197;1;4
"LINESTRING (116.317930428571 40.0353685714286,116.317930428571 40.0353685714286)";539;539;131
"LINESTRING (116.6511626 39.8905168,116.660648111111 39.8823478888889)";496;497;1
"LINESTRING (116.327437847619 39.9666978380952,116.327437847619 39.9666978380952)";27;27;2112
"LINESTRING (117.098108 36.005945,117.097532 35.9943)";429;430;1
"LINESTRING (116.28632975 39.9475295,116.2744474 39.9559708)";40;585;1
"LINESTRING (116.288948333333 39.8769993333333,116.288948333333 39.8769993333333)";312;312;56
"LINESTRING (116.5476484375 40.0627369375,116.5476484375 40.0627369375)";82;82;475
"LINESTRING (117.095363 35.983392,117.095363 35.983392)";431;431;3
"LINESTRING (116.484368333333 39.905143,116.484368333333 39.905143)";220;220;153
"LINESTRING (116.303682 39.9186235588235,116.290449875 39.91392175)";158;37;1
"LINESTRING (116.840242 36.522805,116.840242 36.522805)";377;377;3
"LINESTRING (116.843738 36.543818,116.843738 36.543818)";375;375;4
"LINESTRING (116.564036 39.9107014,116.580152333333 39.9096043333333)";488;489;2
"LINESTRING (116.431343 39.978227,116.438864682927 39.9857672195122)";439;44;2
"LINESTRING (116.305990529412 40.0303576470588,116.317930428571 40.0353685714286)";159;539;2
"LINESTRING (116.672381714286 39.9849602857143,116.672381714286 39.9849602857143)";514;514;98
"LINESTRING (116.46592 37.677848,116.46346 37.666703)";111;112;1
"LINESTRING (116.878627 36.607518,116.878627 36.607518)";369;369;4
"LINESTRING (116.386213394737 39.9866306315789,116.386213394737 39.9866306315789)";30;30;442
"LINESTRING (116.415907857143 39.8442442857143,116.415907857143 39.8442442857143)";149;149;161
"LINESTRING (116.317065769231 40.0647613846154,116.304942 40.056723)";215;216;1
"LINESTRING (117.083457 36.081105,117.088303 36.071902)";422;423;1
"LINESTRING (116.621767 39.986965,116.621767 39.986965)";522;522;52
"LINESTRING (116.342911107143 39.8889555357143,116.342703785714 39.8706275714286)";154;183;2
"LINESTRING (116.847505 36.74596,116.847505 36.74596)";361;361;4
"LINESTRING (116.308754397059 39.9842966617647,116.309084690307 39.9790180756501)";65;1;35
"LINESTRING (117.969065 39.274287,117.981252 39.270652)";472;473;1
"LINESTRING (116.454895675325 39.9067917662338,116.440002207547 39.9220893773585)";20;16;1
"LINESTRING (116.451152 39.991997,116.447456473684 40.0015087894737)";584;68;1
"LINESTRING (116.42667985 39.946457125,116.427119769231 39.9349231153846)";13;22;13
"LINESTRING (116.442462272727 39.932975,116.454895675325 39.9067917662338)";99;20;1
"LINESTRING (116.440002207547 39.9220893773585,116.440002207547 39.9220893773585)";16;16;2870
"LINESTRING (117.036063 36.15703,117.041223 36.147757)";414;415;1
"LINESTRING (116.365128153846 39.9988243846154,116.365128153846 39.9988243846154)";278;278;196
"LINESTRING (116.3139875 39.84704375,116.32441775 39.8460185)";477;122;3
"LINESTRING (116.419207521739 39.8560874347826,116.415743490909 39.8636931090909)";478;120;5
"LINESTRING (116.499597 39.992117,116.499597 39.992117)";533;533;4
"LINESTRING (117.865689333333 39.2961876666667,117.877935 39.296015)";464;465;1
"LINESTRING (116.48326575 40.00877525,116.465008857143 40.0007138571429)";85;58;1
"LINESTRING (116.432392 39.8641791486487,116.442877410256 39.8754710512821)";151;152;2
"LINESTRING (116.427119769231 39.9349231153846,116.426942714286 39.9229947857143)";22;14;14
"LINESTRING (117.871705 39.20041,117.871705 39.20041)";450;450;1
"LINESTRING (116.503732 40.0577685,116.510288 40.072625)";551;552;1
"LINESTRING (116.307135785714 39.8636831428571,116.3139875 39.84704375)";186;477;2
"LINESTRING (115.52054 39.643977,115.52054 39.643977)";560;560;8
"LINESTRING (116.315031380952 39.9680074285715,116.315031380952 39.9680074285715)";282;282;2420
"LINESTRING (116.335507025 39.98512485,116.322367820513 39.9843652564103)";3;9;19
"LINESTRING (116.352629666667 39.8308786,116.359745780488 39.8439561219512)";191;62;2
"LINESTRING (116.843738 36.543818,116.841597 36.533355)";375;376;1
"LINESTRING (116.455579614035 39.9288034210526,116.454895675325 39.9067917662338)";50;20;5
"LINESTRING (117.050015 36.12814,117.055498 36.118462)";417;418;1
"LINESTRING (116.453651191011 39.8857899101124,116.454719222222 39.9001348888889)";18;566;4
"LINESTRING (117.095363 35.983392,117.088772 35.972825)";431;432;1
"LINESTRING (116.534927 37.772897,116.534927 37.772897)";100;100;1
"LINESTRING (115.463995 39.638545,115.463995 39.638545)";564;564;1
"LINESTRING (116.519682666667 40.0272502727273,116.519682666667 40.0272502727273)";72;72;556
"LINESTRING (116.170383 39.926907,116.170383 39.926907)";274;274;2
"LINESTRING (117.059148 35.935892,117.0758265 35.93292675)";433;435;1
"LINESTRING (116.329023615385 39.955874,116.317260461538 39.9472980769231)";268;129;1
"LINESTRING (117.929852 39.285685,117.929852 39.285685)";469;469;4
"LINESTRING (116.309084690307 39.9790180756501,116.315031380952 39.9680074285715)";1;282;28
"LINESTRING (116.953122 35.901868,116.9237385 35.896899)";438;314;1
"LINESTRING (116.657053571429 39.8683008571429,116.660648111111 39.8823478888889)";498;497;1
"LINESTRING (116.284396933333 40.0401374,116.279835333333 40.03271)";136;137;1
"LINESTRING (116.245303 39.890685,116.245303 39.890685)";304;304;1
"LINESTRING (116.252317 40.0455,116.250259272727 40.0484632727273)";140;141;2
"LINESTRING (116.486167 40.018612,116.500330727273 40.0231155454546)";57;71;1
"LINESTRING (116.4977665 39.869586,116.510715 39.869129)";440;441;1
"LINESTRING (116.311132111111 40.0047538148148,116.310267666667 39.9929978)";161;481;4
"LINESTRING (116.519682666667 40.0272502727273,116.511297555556 40.015485)";72;79;5
"LINESTRING (116.43062 37.29138,116.440118 37.283605)";316;317;1
"LINESTRING (116.527297 37.752565,116.527297 37.752565)";103;103;3
"LINESTRING (116.486598333333 39.9909226666667,116.4786758 39.9848222)";76;75;1
"LINESTRING (116.665967 37.00352,116.665967 37.00352)";333;333;4
"LINESTRING (116.5164156 40.0897942,116.5164156 40.0897942)";553;553;41
"LINESTRING (116.610457 39.984538,116.600345 39.979682)";523;524;1
"LINESTRING (117.088772 35.972825,117.059148 35.935892)";432;433;1
"LINESTRING (116.3188402 39.9320189,116.3188402 39.9320189)";91;91;283
"LINESTRING (116.267746014286 39.9566036285714,116.268546022727 39.9471546363636)";256;180;18
"LINESTRING (116.315401307692 39.9077855384615,116.303877285714 39.9010203265306)";208;157;2
"LINESTRING (116.337081 39.849748625,116.32441775 39.8460185)";121;122;4
"LINESTRING (116.776139375 35.8054900625,116.776139375 35.8054900625)";95;95;341
"LINESTRING (116.343079666667 40.045191,116.343079666667 40.045191)";267;267;117
"LINESTRING (116.348788521739 39.9547022173913,116.349886242424 39.9425621818182)";125;126;5
"LINESTRING (116.613051333333 39.9045824444445,116.613051333333 39.9045824444445)";492;492;228
"LINESTRING (117.091072 36.061148,117.091933 36.050017)";424;425;1
"LINESTRING (116.342448176471 40.0353150588235,116.342448176471 40.0353150588235)";211;211;868
"LINESTRING (116.460788 37.655652,116.455547 37.645052)";113;114;1
"LINESTRING (116.493445545455 40.0009175454545,116.486598333333 39.9909226666667)";77;76;1
"LINESTRING (116.2462265 39.9858138571429,116.2462265 39.9858138571429)";261;261;194
"LINESTRING (116.57559 39.832235,116.541229714286 39.9454007142857)";300;301;1
"LINESTRING (116.565232 39.825513,116.57559 39.832235)";299;300;1
"LINESTRING (116.3233866 39.8302350666667,116.337321066667 39.8295884666667)";187;190;3
"LINESTRING (116.462062757576 39.8854745151515,116.462062757576 39.8854745151515)";206;206;1355
"LINESTRING (116.2983033 39.8301241,116.284404550562 39.8262855617977)";189;174;5
"LINESTRING (116.350011 40.0377575,116.342448176471 40.0353150588235)";265;211;2
"LINESTRING (116.298414461538 39.9835601025641,116.310267666667 39.9929978)";31;481;1
"LINESTRING (116.685163555556 39.9852948888889,116.672381714286 39.9849602857143)";515;514;2
"LINESTRING (116.205506 39.9231394,116.205506 39.9231394)";166;166;20
"LINESTRING (116.652311 39.934786,116.652311 39.934786)";510;510;34
"LINESTRING (116.46121468 39.97080078,116.449548775 39.980409425)";46;45;5
"LINESTRING (116.512337 37.733385,116.503598 37.7243)";105;106;1
"LINESTRING (116.240966214286 40.0692335714286,116.2321372 40.0706304)";142;143;1
"LINESTRING (116.613051333333 39.9045824444445,116.59657325 39.90881025)";492;491;1
"LINESTRING (116.13601 40.341508,116.134814 40.3575)";243;244;1
"LINESTRING (116.522238 39.916262,116.510202 39.915542)";501;502;1
"LINESTRING (117.943932 39.2818,117.943932 39.2818)";470;470;2
"LINESTRING (116.476232 37.699765,116.469517 37.689237)";109;110;1
"LINESTRING (116.22217 39.814302,116.22217 39.814302)";310;310;3
"LINESTRING (116.633567 39.986417,116.633567 39.986417)";521;521;33
"LINESTRING (116.303682 39.9186235588235,116.303682 39.9186235588235)";158;158;641
"LINESTRING (116.19999 39.933035,116.190863 39.94921)";271;272;1
"LINESTRING (116.805875 38.44053,116.801723 38.431193)";581;582;1
"LINESTRING (116.500330727273 40.0231155454546,116.500330727273 40.0231155454546)";71;71;183
"LINESTRING (116.372127275862 39.9582460689655,116.37602 39.961487)";7;572;10
"LINESTRING (116.46121468 39.97080078,116.4470478 39.956869075)";46;52;1
"LINESTRING (116.254102591054 39.979973798722,116.265329 39.9861983333333)";0;449;1
"LINESTRING (116.4551811 39.8716443,116.453651191011 39.8857899101124)";19;18;4
"LINESTRING (116.465008857143 40.0007138571429,116.471724909091 40.0116418181818)";58;59;2
"LINESTRING (116.2976265 39.9970875,116.2976265 39.9970875)";131;131;29
"LINESTRING (116.134814 40.3575,116.134768 40.371385)";244;245;1
"LINESTRING (116.399665387755 39.9869133265306,116.402212 39.9777971)";29;181;2
"LINESTRING (116.274657 39.81774,116.274657 39.81774)";296;296;2
"LINESTRING (116.361213666667 39.918166,116.361213666667 39.918166)";130;130;341
"LINESTRING (116.215388 40.100852,116.21155 40.110348)";227;228;1
"LINESTRING (116.351158732143 39.9664790446429,116.351158732143 39.9664790446429)";25;25;1178
"LINESTRING (116.455579614035 39.9288034210526,116.456198229167 39.9416057291667)";50;51;5
"LINESTRING (116.84007 36.510898,116.844263 36.49993)";378;379;1
"LINESTRING (116.483527625 39.872547625,116.4977665 39.869586)";222;440;1
"LINESTRING (116.523812 39.8686025,116.510715 39.869129)";442;441;1
"LINESTRING (116.844263 36.49993,116.844263 36.49993)";379;379;3
"LINESTRING (116.399665387755 39.9869133265306,116.399665387755 39.9869133265306)";29;29;326
"LINESTRING (116.901435 36.342722,116.901435 36.342722)";394;394;4
"LINESTRING (116.456198229167 39.9416057291667,116.455753485714 39.952497)";51;48;5
"LINESTRING (116.268918876133 39.9658666676737,116.277861505618 39.9736143146067)";2;33;24
"LINESTRING (116.76844 35.813115,116.76844 35.813115)";289;289;2
"LINESTRING (116.483643428571 39.888821,116.484368333333 39.905143)";221;220;2
"LINESTRING (116.41318776 39.98786228,116.426072125 39.98778325)";42;43;6
"LINESTRING (116.21155 40.110348,116.206698 40.125274)";228;229;1
"LINESTRING (117.048309666667 35.9379593333333,117.059148 35.935892)";434;433;1
"LINESTRING (116.328367 39.866858,116.328367 39.866858)";184;184;68
"LINESTRING (116.267970666667 40.0269006666667,116.25913525 40.03737575)";138;139;2
"LINESTRING (116.325496714286 39.906033,116.315401307692 39.9077855384615)";209;208;2
"LINESTRING (115.478198 39.639545,115.478198 39.639545)";563;563;2
"LINESTRING (116.242083 39.878202,116.23911 39.865608)";305;306;1
"LINESTRING (116.4786758 39.9848222,116.486598333333 39.9909226666667)";75;76;4
"LINESTRING (116.309784315789 39.8290561578947,116.309784315789 39.8290561578947)";188;188;197
"LINESTRING (116.339034197802 39.9664637692308,116.335507025 39.98512485)";26;3;2
"LINESTRING (116.339678 39.8391993333333,116.337081 39.849748625)";480;121;1
"LINESTRING (116.435070523809 39.8933174761905,116.454719222222 39.9001348888889)";17;566;1
"LINESTRING (116.285525714286 39.8957370714286,116.267997064516 39.895006172043)";257;169;1
"LINESTRING (116.284803565789 39.7952446578947,116.284803565789 39.7952446578947)";176;176;2196
"LINESTRING (116.852062 36.491638,116.859675 36.483113)";380;381;1
"LINESTRING (116.453651191011 39.8857899101124,116.442877410256 39.8754710512821)";18;152;3
"LINESTRING (116.455579614035 39.9288034210526,116.455579614035 39.9288034210526)";50;50;1573
"LINESTRING (116.483527625 39.872547625,116.483643428571 39.888821)";222;221;2
"LINESTRING (116.400613 39.904095,116.400613 39.904095)";249;249;133
"LINESTRING (116.534512 39.831602,116.553655 39.828122)";297;298;1
"LINESTRING (116.498702 40.040253,116.503732 40.0577685)";550;551;1
"LINESTRING (117.0758265 35.93292675,116.974381666667 35.9164956666667)";435;436;1
"LINESTRING (116.170383 39.926907,116.308754397059 39.9842966617647)";274;65;1
"LINESTRING (116.290449875 39.91392175,116.290449875 39.91392175)";37;37;224
"LINESTRING (116.257807768421 39.9708023789474,116.277861505618 39.9736143146067)";96;33;1
"LINESTRING (116.315031380952 39.9680074285715,116.309084690307 39.9790180756501)";282;1;33
"LINESTRING (116.510202 39.915542,116.510202 39.915542)";502;502;68
"LINESTRING (116.309084690307 39.9790180756501,116.309084690307 39.9790180756501)";1;1;7763
"LINESTRING (116.2972052 40.0159648,116.289481 40.0279941333333)";146;135;2
"LINESTRING (116.268289040404 39.910758979798,116.268289040404 39.910758979798)";168;168;791
"LINESTRING (116.309784315789 39.8290561578947,116.3233866 39.8302350666667)";188;187;3
"LINESTRING (116.258432 39.8666655,116.248155166667 39.8548221666667)";195;196;1
"LINESTRING (116.483847173913 39.9208502173913,116.483171652174 39.938303173913)";219;218;3
"LINESTRING (116.72544 39.9867725,116.72544 39.9867725)";518;518;29
"LINESTRING (116.442877410256 39.8754710512821,116.435070523809 39.8933174761905)";152;17;2
"LINESTRING (116.277426333333 39.8496965882353,116.277426333333 39.8496965882353)";172;172;336
"LINESTRING (116.3668814 40.0247508,116.3668814 40.0247508)";263;263;46
"LINESTRING (116.41318776 39.98786228,116.399665387755 39.9869133265306)";42;29;11
"LINESTRING (116.471617 39.8722581666667,116.483527625 39.872547625)";223;222;1
"LINESTRING (116.14966 40.071402,116.14966 40.071402)";253;253;1
"LINESTRING (116.865213 36.708187,116.87875 36.658383)";364;365;1
"LINESTRING (116.699233 39.9860583,116.715309 39.986286)";516;517;2
"LINESTRING (116.426942714286 39.9229947857143,116.426942714286 39.9229947857143)";14;14;942
"LINESTRING (116.748517 36.864405,116.753838 36.854042)";347;348;1
"LINESTRING (116.156203 40.258505,116.156203 40.258505)";241;241;1
"LINESTRING (116.5362675 39.8681225,116.523812 39.8686025)";443;442;1
"LINESTRING (116.5184825 39.90751,116.5361555 39.908975375)";485;486;2
"LINESTRING (116.305990529412 40.0303576470588,116.310781 40.0457525)";159;302;1
"LINESTRING (116.481234846154 39.9545927692308,116.481234846154 39.9545927692308)";217;217;201
"LINESTRING (116.67003 36.99324,116.674988 36.979038)";334;335;1
"LINESTRING (116.134768 40.371385,116.297062166667 39.9721718333333)";245;197;1
"LINESTRING (116.277426333333 39.8496965882353,116.276364261905 39.863533)";172;171;13
"LINESTRING (116.257067 39.93552,116.257067 39.93552)";586;586;2
"LINESTRING (116.512662 39.976305,116.506342 39.984192)";531;532;1
"LINESTRING (116.4470478 39.956869075,116.46121468 39.97080078)";52;46;2
"LINESTRING (116.322367820513 39.9843652564103,116.388641 39.9495479574468)";9;23;1
"LINESTRING (116.28382908 39.99714532,116.278396785714 40.0169982142857)";132;134;2
"LINESTRING (116.984818 36.239643,116.984818 36.239643)";406;406;2
"LINESTRING (116.200213 40.172395,116.200213 40.172395)";233;233;3
"LINESTRING (116.873508 36.598225,116.866502 36.589408)";370;371;1
"LINESTRING (116.496657 39.910644,116.5063845 39.9065825)";503;484;2
"LINESTRING (116.176193 40.220602,116.176193 40.220602)";237;237;2
